job_id,job_role,industry,country,year,automation_risk_percent,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level,education_requirement_level,wage_volatility_index,ai_disruption_intensity,city,experience_level,education_level,years_experience,years_of_experience,salary_impact,salary_growth_pct,skill_pressure_index,experience_numeric,salary_per_year_exp,custom_risk_score,custom_risk_label
0,2,6,3,2021,26.22,73.2,176466.0,163302.0,-7.46,2.66,15.23,86.62,2,2.34,22.711764,53,1,0,12,10,-13164.0,-7.459793954642821,53.175,4,14845.636363636364,0.6033210454651124,1
1,0,2,0,2020,52.08,2.06,408138.0,378347.0,-7.3,10.43,26.36,18.34,5,4.69,9.551472,57,1,4,14,12,-29791.0,-7.299246823378367,12.4585,4,29103.615384615383,0.07450433396433195,0
2,8,6,2,2020,31.3,43.19,188582.0,196058.0,3.96,8.14,36.29,36.64,2,10.13,11.46832,42,3,4,11,8,7476.0,3.964323212183559,35.852999999999994,3,21784.222222222223,0.3680913951711999,1
3,1,6,1,2021,56.92,19.97,29320.0,34633.0,18.12,6.11,64.68,17.05,5,5.44,9.704860000000002,46,0,1,1,1,5313.0,18.12073669849932,25.1805,1,17316.5,0.2782172627943277,0
4,8,4,7,2024,14.55,96.56,192746.0,238511.0,23.74,2.08,71.58,44.02,3,6.01,6.404910000000001,39,3,3,9,8,45765.0,23.74368339680201,66.5755,3,26501.222222222223,0.7290292584105477,2
5,7,3,6,2022,8.54,3.44,114449.0,109582.0,-4.25,-7.21,38.05,52.01,3,8.23,4.441653999999999,24,1,4,17,13,-4867.0,-4.25254917037283,5.1785,4,7827.285714285715,0.2265085849025273,0
6,0,4,5,2020,48.27,96.96,47879.0,47259.0,-1.29,6.71,17.96,19.6,1,7.38,9.460920000000002,8,0,2,2,1,-620.0,-1.2949309718248083,73.785,1,23629.5,0.5230978712098567,1
7,8,2,10,2026,13.17,38.87,217720.0,213746.0,-1.83,15.57,35.28,54.27,3,4.61,7.147359,25,3,4,11,10,-3974.0,-1.8252801763733235,28.591,3,19431.454545454544,0.39255421606721785,1
8,5,5,3,2025,19.86,7.46,38492.0,41033.0,6.6,11.12,10.5,81.55,4,6.77,16.195829999999997,55,0,4,2,4,2541.0,6.601371713602827,9.8365,1,8206.6,0.2861014247285045,0
9,3,2,2,2020,59.48,77.13,123322.0,143579.0,16.43,1.91,87.68,62.33,5,8.39,37.073884,13,2,0,4,4,20257.0,16.42610402036944,63.289,2,28715.8,0.7534057321244727,2
10,4,0,0,2025,33.16,31.1,224125.0,260917.0,16.42,18.56,89.85,47.22,1,8.13,15.658151999999998,57,3,0,6,7,36792.0,16.41583937534858,28.0665,3,32614.625,0.4886519876457109,1
11,7,4,11,2020,8.37,76.08,321332.0,355087.0,10.5,20.65,57.05,42.75,2,0.36,3.5781749999999994,62,1,3,12,12,33755.0,10.504711637807626,51.18,4,27314.384615384617,0.575510610740261,1
12,2,7,13,2023,5.0,3.14,122138.0,151024.0,23.65,-14.88,91.68,24.93,3,0.92,1.2465000000000002,21,2,0,4,4,28886.0,23.650297204801127,3.1790000000000003,2,30204.8,0.28588887781873734,0
13,0,0,9,2021,38.73,22.88,345203.0,407353.0,18.0,-0.02,93.67,80.81,3,8.08,31.297713,3,1,3,16,12,62150.0,18.003899154989963,23.83,4,31334.846153846152,0.5621068712430674,1
14,2,3,3,2025,44.34,80.37,63010.0,69254.0,9.91,14.69,82.67,89.61,2,0.97,39.733074,7,0,4,4,3,6244.0,9.909538168544676,61.254000000000005,1,17313.5,0.8378931287569326,2
15,0,1,2,2022,32.26,22.79,440908.0,460827.0,4.52,7.61,10.63,51.07,5,2.96,16.475182,63,1,4,12,15,19919.0,4.517722518076334,21.7095,4,28801.6875,0.22951745209391916,0
16,1,0,7,2021,54.22,11.99,66799.0,76341.0,14.28,9.04,56.69,70.3,1,1.61,38.11666,47,0,0,1,2,9542.0,14.284644979715267,18.879,1,25447.0,0.3896516223307097,1
17,6,7,7,2020,35.45,96.24,110207.0,124390.0,12.87,4.73,35.64,3.69,2,19.19,1.3081050000000003,34,2,1,3,3,14183.0,12.869418457992689,72.52449999999999,2,31097.5,0.525588655308691,1
18,5,0,7,2025,52.67,5.15,43486.0,47324.0,8.83,8.02,23.04,48.95,4,1.92,25.781965,39,0,4,3,4,3838.0,8.825829002437565,14.169500000000005,1,9464.8,0.19396898143535582,0
19,8,1,0,2022,79.0,67.21,247879.0,230366.0,-7.07,-4.09,43.1,63.23,2,7.91,49.9517,12,1,4,17,15,-17513.0,-7.06514065330262,60.673,4,14397.875,0.5692736873567797,1
20,1,5,2,2024,69.35,9.03,189346.0,205775.0,8.68,-0.66,13.67,59.09,4,9.91,40.978915,13,3,2,8,8,16429.0,8.676708248391833,21.226,3,22863.88888888889,0.22343329680183321,0
21,6,4,5,2024,57.43,51.21,76398.0,89889.0,17.66,9.74,72.18,38.67,4,10.62,22.208181,8,0,2,1,1,13491.0,17.65883923662923,46.3655,1,44944.5,0.5220749892066022,1
22,2,6,11,2021,65.57,34.11,191509.0,234293.0,22.34,-7.31,83.55,55.52,2,8.14,36.404464,62,1,3,16,12,42784.0,22.34046441681592,36.5065,4,18022.53846153846,0.5035236292384843,1
23,8,2,3,2023,47.08,9.31,173342.0,156392.0,-9.78,12.82,40.51,34.92,5,2.6,16.440336,7,1,3,12,11,-16950.0,-9.778357235984354,15.857500000000002,4,13032.666666666666,0.20008634718209292,0
24,9,5,3,2026,75.82,88.71,39772.0,43224.0,8.68,7.32,24.55,89.86,1,6.8,68.131852,53,0,4,4,3,3452.0,8.679472996077644,73.8455,1,10806.0,0.7308292650526383,2
25,2,5,10,2020,42.45,10.15,183645.0,220177.0,19.89,9.74,68.68,22.43,3,18.66,9.521535,56,2,4,5,7,36532.0,19.89272781725612,17.8865,2,27522.125,0.2666600245757364,0
26,8,3,5,2020,59.85,32.54,150455.0,176007.0,16.98,9.13,69.19,56.83,3,9.63,34.012755,8,3,1,7,5,25552.0,16.98315110830481,34.5655,3,29334.5,0.47835010461293215,1
27,3,3,4,2020,16.56,26.52,163733.0,174388.0,6.51,8.41,90.28,63.11,3,0.77,10.451016,32,3,4,9,10,10655.0,6.507545821550939,20.6655,3,15853.454545454546,0.5055162565175516,1
28,3,4,6,2022,65.64,57.69,177056.0,177621.0,0.32,-3.57,35.27,2.43,2,6.26,1.595052,45,1,4,17,15,565.0,0.3191080787999277,51.5655,4,11101.3125,0.30009631031848827,0
29,3,6,12,2023,55.18,94.05,106556.0,108803.0,2.11,12.14,11.39,92.83,1,2.23,51.223594000000006,54,2,1,4,4,2247.0,2.108750328465783,72.503,2,21760.6,0.7224934409352063,2
30,2,0,5,2021,29.97,96.36,311986.0,365857.0,17.27,-10.15,86.6,31.69,1,8.47,9.497493,37,1,3,11,12,53871.0,17.267120960555925,69.8985,4,28142.846153846152,0.7223539570256717,2
31,1,2,0,2025,36.86,93.62,54484.0,65729.0,20.64,6.54,65.35,99.01,4,8.84,36.495086,12,0,4,3,3,11245.0,20.63908670435357,69.551,1,16432.25,0.8951545946664012,2
32,2,3,5,2025,9.81,87.74,137318.0,137032.0,-0.21,15.54,42.35,29.36,4,10.83,2.8802160000000003,20,2,0,4,5,-286.0,-0.2082756812653839,60.61749999999999,2,22838.666666666668,0.5740559928265416,1
33,3,3,8,2024,66.66,86.71,81905.0,74072.0,-9.56,43.53,81.85,65.0,5,5.15,43.32899999999999,64,0,2,1,0,-7833.0,-9.563518710701423,70.466,1,74072.0,0.7949918634386103,2
